      Date      Angle      Separ      err-a      err-s nts  pr
  1985.369      191.2      00.69          0       0.03   2   2
   1985.39      191.7      00.62          0       0.03   4   2
 1985.4183      192.4      0.609          0      0.003   1   3
 1985.4813      192.5      0.607          0      0.003   1   3
 1986.1527      192.5      0.561          0      0.003   1   3
 1986.1556      192.6      0.557          0      0.003   1   3
 1986.1592      192.4     00.560          0      0.003   3   3
 1986.1692      192.2      0.561          0      0.003   1   3
 1986.2347      192.3      0.550          0      0.003   1   3
 1986.2374      192.4      0.547          0      0.003   1   3
 1986.2784      192.3      0.552          0      0.003   1   3
 1986.3030      192.4     00.544          0      0.003   4   3
 1986.3201      192.5      0.547        0.8      0.028   1   3
 1986.3230      193.0      0.555        0.8      0.028   1   3
 1986.4041      192.8      0.534          0      0.003   1   3
  1986.460      193.8      00.49          0       0.03   4   2
 1986.4614      192.4      0.527          0      0.003   1   3
 1987.1193      192.1      0.444          0      0.003   1   3
 1987.1248      192.1      0.445          0      0.003   1   3
 1987.1985      192.5      0.430          0      0.003   1   3
 1987.2095      192.8      0.431          0      0.003   2   3
 1987.2328      192.4     00.427          0      0.003   9   3
 1987.2668      192.4      0.418          0      0.003   1   3
 1987.2830      192.5      0.415          0      0.003   1   3
 1987.2858      192.2      0.417          0      0.003   1   3
 1987.2886      192.4      0.415          0      0.003   1   3
 1987.2914      192.7      0.415          0      0.003   1   3
 1987.2942      192.4      0.413          0      0.003   1   3
 1988.0968      191.6      0.253          0      0.003   1   3
 1988.0995      192.1      0.255          0      0.003   1   3
 1988.1022      192.3      0.252          0      0.003   1   3
 1988.1049      191.8      0.251          0      0.003   1   3
 1988.1075      191.9      0.251          0      0.003   1   3
 1988.1655      191.9      0.236          0      0.003   1   3
 1988.1967      192.5      0.230        1.8      0.009   1   3
 1988.1968      192.9     00.221          0      0.003   1   3
 1988.2496      192.3      0.215          0      0.003   1   3
 1988.2496      192.3     00.215          0      0.003   1   3
 1988.3179      192.2      0.198          0      0.003   1   3
 1988.6652      189.3      0.101          0      0.003   1   3
 1989.2272       11.6      0.051          0      0.003   1   3
 1990.2703       12.8      0.308          0      0.003   2   3
 1990.4401       11.6      0.331        1.2      0.008   1   3
 1991.0277        14.      0.436        1.4      0.011   1   3
   1991.25       191.      0.465          0      0.010   1   3
 1991.3187       12.0      0.457          0      0.003   1   3
 1991.3269       12.2      0.458          0      0.003   2   3
   1991.63        6.7       0.39          0       0.03   1   2
 1992.1273        12.      0.521         3.      0.008   1   3
 1992.2118        14.      0.498         3.      0.008   1   3
 1992.3098       12.0      0.513          0      0.003   1   3
 1992.3127       12.1      0.513          0      0.003   1   3
  1992.363       11.9       0.49          0       0.03   1   2
  1992.363       12.2       0.48          0       0.03   1   2
  1992.381       11.5      00.49          0       0.03   8   2
  1992.385       10.6       0.46          0       0.03   1   2
  1992.385       11.4       0.49          0       0.03   1   2
  1992.385       11.8       0.50          0       0.03   1   2
  1992.388       11.2       0.47          0       0.03   1   2
  1992.388       11.2       0.50          0       0.03   1   2
  1992.388       11.6       0.51          0       0.03   1   2
 1993.1973       11.9      0.514          0      0.003   1   3
  1994.304       11.6       0.43          0       0.03   1   2
  1994.304       12.9       0.50          0       0.03   1   2
  1994.313       11.7       0.47          0       0.03   1   2
  1994.334       12.3       0.45          0       0.03   1   2
  1994.354       12.5       0.45          0       0.03   1   2
  1994.389       12.7       0.45          0       0.03   1   2
  1994.389       13.1       0.49          0       0.03   1   2
  1994.389       13.4       0.50          0       0.03   1   2
  1994.389       13.9       0.41          0       0.03   1   2
  1994.392       10.2       0.45          0       0.03   1   2
  1994.392       11.4       0.45          0       0.03   1   2
  1994.392       11.7       0.46          0       0.03   1   2
  1994.403        8.1       0.44          0       0.03   1   2
  1994.403       12.9       0.45          0       0.03   1   2
  1994.405       10.4       0.45          0       0.03   1   2
  1994.405       10.8       0.45          0       0.03   1   2
  1994.408       10.6       0.45          0       0.03   1   2
  1994.408       11.0       0.45          0       0.03   1   2
  1994.416       10.6       0.45          0       0.03   1   2
  1994.416       13.0       0.46          0       0.03   1   2
  1994.438       10.3       0.45          0       0.03   1   2
  1994.438       11.3       0.46          0       0.03   1   2
  1994.452       10.4       0.46          0       0.03   1   2
  1994.452       10.9       0.45          0       0.03   1   2
 1995.1495       12.7      0.428          0      0.003   1   3
  1995.211       10.4       0.41          0       0.03   1   2
  1995.211       10.9       0.41          0       0.03   1   2
 1995.3109       12.1      0.418          0      0.003   1   3
  1995.369        8.7       0.40          0       0.03   1   2
  1995.380       10.0       0.39          0       0.03   1   2
  1995.380       11.9       0.39          0       0.03   1   2
  1995.383        9.0       0.40          0       0.03   1   2
  1995.383       11.5       0.40          0       0.03   1   2
  1995.394       10.9       0.40          0       0.03   1   2
  1995.394       11.0       0.40          0       0.03   1   2
 1995.4308       11.9      0.412          0      0.003   1   3
 1996.1212      192.0      0.364          0      0.003   1   3
 1996.1295       11.7      0.386          0      0.003   1   3
 1996.1295       12.8      0.370          0      0.003   1   3
 1996.3236       12.8      0.343          0      0.003   1   3
 1996.5019       192.       0.33          0       0.03   1   2
 1997.1179       12.4      0.281          0      0.003   1   3
 1997.1179       13.0      0.277          0      0.003   1   3
 1997.1263       11.9      0.278          0      0.003   1   3
 1997.2247       13.0      0.262          0      0.003   1   3
 1997.2329       14.1      0.277          0      0.003   1   3
1998.27196     191.96    0.17877       0.13    0.00042   1   5
 1999.1691        6.6      0.114          0      0.003   1   3
 2002.0988      194.4       0.19          0       0.03   1   2
 2002.2731      190.3       0.20          0       0.03   1   2
 2002.3224       13.2      0.199          0      0.003   1   3
 2002.3224      193.2      0.199          0      0.003   1   3
 2002.3224      193.3      0.200          0      0.003   1   3
  2003.311      188.1       0.31          0       0.03   1   2
 2004.0808      12.30    0.35287       0.07    0.00042   1   5
 2004.0921       12.2      0.355        0.4      0.003   1   3
 2004.0948       12.0      0.359        0.4      0.003   1   3
 2004.0977       11.8      0.358        0.4      0.003   1   3
 2004.2859      12.32    0.36973       0.06    0.00041   1   5
 2004.3239      12.32    0.37290       0.09    0.00057   1   5
 2004.3458      12.51    0.37555       0.25    0.00166   1   5
  2004.360      193.9       0.37          0       0.03   2   2
  2004.380       12.2      0.376        0.8      0.004   1   3
 2004.3839      12.38    0.37759       0.08    0.00052   1   5
 2005.2631      12.31    0.44532       0.04    0.00031   1   5
 2005.2658      12.27    0.44554       0.07    0.00051   1   5
 2005.2823      12.39    0.44657       0.10    0.00081   1   5
 2005.3396      12.37    0.45078       0.03    0.00025   1   5
  2005.370       13.2       0.45          0       0.03   4   2
  2005.472       12.3       0.45          0       0.03   2   2
 2005.5232       13.0      0.465        0.4      0.004   1   3
 2006.0493      12.36    0.50000       0.43    0.00380   1   5
 2006.1149      12.28    0.50452       0.03    0.00030   1   5
 2006.1205      12.33    0.50465       0.04    0.00032   1   5
 2006.1504      12.28    0.50663       0.08    0.00072   1   5
 2006.1917       11.8      0.500          0      0.003   1   3
 2006.2652      12.31    0.51400       0.10    0.00086   1   5
  2006.320       11.8       0.53          0       0.03   2   2
 2006.3799      12.32    0.52119       0.03    0.00024   1   5
  2006.398       12.2      0.520        0.3      0.003   1   3
 2006.4374      12.31    0.52474       0.05    0.00046   1   5
 2007.0050      192.6      0.554          0      0.003   1   3
 2007.0077      192.2      0.557          0      0.003   1   3
 2007.2619      12.28    0.57131       0.02    0.00019   1   5
 2007.3140       12.8      0.571          0      0.003   1   3
 2007.3545      12.16    0.57652       0.12    0.00122   1   5
 2007.3711      12.39    0.57688       0.01    0.00015   1   5
 2007.3956      12.28    0.57806       0.02    0.00024   1   5
 2007.4723      12.35    0.58207       0.25    0.00256   1   5
 2008.0698       12.8      0.603          0      0.003   1   3
 2008.1028      12.16    0.60909       0.06    0.00064   1   5
 2008.1601      12.32    0.61097       0.05    0.00053   1   5
 2008.1628      12.26    0.61131       0.02    0.00024   1   5
 2008.4501       12.1      0.610          0      0.003   1   3
  2008.493       12.2      0.616        0.3      0.003   1   3
 2009.4462       12.9      0.642        0.2      0.003   1   3
 2009.4462       13.3      0.645        0.2      0.003   1   3
  2010.204       11.1      0.606          0      0.003   2   3
  2010.445       12.3      0.633        0.3      0.003   1   3
 2010.4646       12.1     0.6360          0     0.0003   1   4
  2011.220       12.4      0.605        0.0      0.000   3   3
  2011.488       11.5      0.594        0.4      0.003   1   3
  2013.459       11.8      0.346        0.5      0.004   1   3
 2014.2189       12.1     0.1842          0     0.0003   1   4
 2014.2189       12.1     0.1844          0     0.0003   1   4
  2014.396       17.0      0.149        0.8      0.003   1   3
